قال+Negative+Continuous+P1S	قالمييورم
سو+Positive+Continuous+P1P	سوييورز
سو+Positive+Continuous+P3P	سوييور
سو+Positive+Continuous+P3P	سوييورلر
سو+Positive+Continuous+P2P	سوييورسڭز
سو+Positive+Continuous+P2S	سوييورسڭ
سو+Positive+Continuous+P3S	سوييور
سو+Positive+Aorist+P1S	سورم
سو+Positive+Aorist+P1P	سورز
سو+Positive+Aorist+P3P	سور
سو+Positive+Aorist+P3P	سورلر
سو+Positive+Aorist+P2P	سورسڭز
سو+Positive+Aorist+P2S	سورسڭ
سو+Positive+Aorist+P3S	سور
سور+Negative+Continuous+P1S	سورمييورم
سور+Negative+Continuous+P1P	سورمييورز
سور+Negative+Continuous+P3P	سورمييور
سور+Negative+Continuous+P3P	سورمييورلر
سور+Negative+Continuous+P2P	سورمييورسڭز
سور+Negative+Continuous+P2S	سورمييورسڭ
سور+Negative+Continuous+P3S	سورمييور
سور+Negative+Aorist+P3P	سورمز
سور+Negative+Aorist+P3P	سورمزلر
سور+Negative+Aorist+P2P	سورمزسڭز
سور+Negative+Aorist+P2S	سورمزسڭ
سور+Negative+Aorist+P3S	سورمز
سور+Negative+Aorist+P1P	سورميز
سور+Negative+Aorist+P1S	سورمم
سور+Positive+Continuous+P1S	سورويورم
سور+Positive+Continuous+P1P	سورويورز
سور+Positive+Continuous+P3P	سورويور
سور+Positive+Continuous+P3P	سورويورلر
سور+Positive+Continuous+P2P	سورويورسڭز
سور+Positive+Continuous+P2S	سورويورسڭ
سور+Positive+Continuous+P3S	سورويور
سور+Positive+Aorist+P1S	سورورم
سور+Positive+Aorist+P1P	سورورز
سور+Positive+Aorist+P3P	سورور
سور+Positive+Aorist+P3P	سورورلر
سور+Positive+Aorist+P2P	سورورسڭز
سور+Positive+Aorist+P2S	سورورسڭ
سور+Positive+Aorist+P3S	سورور
گور+Negative+Continuous+P1S	گورمييورم
گور+Negative+Continuous+P1P	گورمييورز
گور+Negative+Continuous+P3P	گورمييور
گور+Negative+Continuous+P3P	گورمييورلر
گور+Negative+Continuous+P2P	گورمييورسڭز
گور+Negative+Continuous+P2S	گورمييورسڭ
گور+Negative+Continuous+P3S	گورمييور
گور+Negative+Aorist+P3P	گورمز
گور+Negative+Aorist+P3P	گورمزلر
گور+Negative+Aorist+P2P	گورمزسڭز
گور+Negative+Aorist+P2S	گورمزسڭ
گور+Negative+Aorist+P3S	گورمز
گور+Negative+Aorist+P1P	گورميز
گور+Negative+Aorist+P1S	گورمم
گور+Positive+Continuous+P1S	گورويورم
گور+Positive+Continuous+P1P	گورويورز
گور+Positive+Continuous+P3P	گورويور
گور+Positive+Continuous+P3P	گورويورلر
گور+Positive+Continuous+P2P	گورويورسڭز
گور+Positive+Continuous+P2S	گورويورسڭ
گور+Positive+Continuous+P3S	گورويور
گور+Positive+Aorist+P1S	گورورم
گور+Positive+Aorist+P1P	گورورز
گور+Positive+Aorist+P3P	گورور
گور+Positive+Aorist+P3P	گورورلر
گور+Positive+Aorist+P2P	گورورسڭز
گور+Positive+Aorist+P2S	گورورسڭ
گور+Positive+Aorist+P3S	گورور
گيت+Negative+Continuous+P1S	گيتمييورم
گيت+Negative+Continuous+P1P	گيتمييورز
گيت+Negative+Continuous+P3P	گيتمييور
گيت+Negative+Continuous+P3P	گيتمييورلر
گيت+Negative+Continuous+P2P	گيتمييورسڭز
گيت+Negative+Continuous+P2S	گيتمييورسڭ
گيت+Negative+Continuous+P3S	گيتمييور
گيت+Negative+Aorist+P3P	گيتمز
گيت+Negative+Aorist+P3P	گيتمزلر
گيت+Negative+Aorist+P2P	گيتمزسڭز
گيت+Negative+Aorist+P2S	گيتمزسڭ
گيت+Negative+Aorist+P3S	گيتمز
گيت+Negative+Aorist+P1P	گيتميز
گيت+Negative+Aorist+P1S	گيتمم
گيت+Positive+Continuous+P1S	گيتييورم
گيت+Positive+Continuous+P1P	گيتييورز
گيت+Positive+Continuous+P3P	گيتييور
گيت+Positive+Continuous+P3P	گيتييورلر
گيت+Positive+Continuous+P2P	گيتييورسڭز
گيت+Positive+Continuous+P2S	گيتييورسڭ
گيت+Positive+Continuous+P3S	گيتييور
گيت+Positive+Aorist+P1S	گيترم
گيت+Positive+Aorist+P1P	گيترز
گيت+Positive+Aorist+P3P	گيتر
گيت+Positive+Aorist+P3P	گيترلر
گيت+Positive+Aorist+P2P	گيترسڭز
گيت+Positive+Aorist+P2S	گيترسڭ
گيت+Positive+Aorist+P3S	گيتر
