بابا+N	بابا
بابا+N+Pl+P2S	بابالرڭ
بابا+N+Pl+P2S+Loc	بابالرڭده
بابا+N+Pl+P2S+Abl	بابالرڭدن
بابا+N+Pl+P2S+Inst	بابالرڭله
بابا+N+Pl+P2S+Dat	بابالرڭه
بابا+N+Pl+P2S+Gen	بابالرڭڭ
بابا+N+Pl+P2S+Acc	بابالرڭى
بابا+N+Pl+P1S	بابالريم
بابا+N+Pl+P1S+Loc	بابالريمده
بابا+N+Pl+P1S+Abl	بابالريمدن
بابا+N+Pl+P1S+Inst	بابالريمله
بابا+N+Pl+P1S+Dat	بابالريمه
بابا+N+Pl+P1S+Gen	بابالريمڭ
بابا+N+Pl+P1S+Acc	بابالريمى
چانطه+N	چانطه
چانطه+N+P3P	چانطهلرى
چانطه+N+P3P+Loc	چانطهلرىنده
چانطه+N+P3P+Abl	چانطهلرىندن
چانطه+N+P3P+Dat	چانطهلرىنه
چانطه+N+P3P+Gen	چانطهلرىنڭ
چانطه+N+P3P+Acc	چانطهلرىسى
چانطه+N+P3P+Inst	چانطهلرىيله
چانطه+N+P2P	چانطهنڭز
چانطه+N+P2P+Loc	چانطهنڭزده
چانطه+N+P2P+Abl	چانطهنڭزدن
چانطه+N+P2P+Inst	چانطهنڭزله
چانطه+N+P2P+Dat	چانطهنڭزه
چانطه+N+P2P+Gen	چانطهنڭزڭ
چانطه+N+P2P+Acc	چانطهنڭزى
چانطه+N+P1P	چانطهمز
چانطه+N+P1P+Loc	چانطهمزده
چانطه+N+P1P+Abl	چانطهمزدن
چانطه+N+P1P+Inst	چانطهمزله
چانطه+N+P1P+Dat	چانطهمزه
چانطه+N+P1P+Gen	چانطهمزڭ
چانطه+N+P1P+Acc	چانطهمزى
چانطه+N+P3S	چانطهسى
چانطه+N+P3S+Gen	چانطهسىنڭ
چانطه+N+P3S+Acc	چانطهسىسى
چانطه+N+P3S+Loc	چانطهسىده
چانطه+N+P3S+Abl	چانطهسىدن
چانطه+N+P3S+Inst	چانطهسىيله
چانطه+N+P3S+Dat	چانطهسىيه
چانطه+N+P2S	چانطهنڭ
چانطه+N+P2S+Loc	چانطهنڭده
چانطه+N+P2S+Abl	چانطهنڭدن
چانطه+N+P2S+Inst	چانطهنڭله
چانطه+N+P2S+Dat	چانطهنڭه
چانطه+N+P2S+Gen	چانطهنڭڭ
چانطه+N+P2S+Acc	چانطهنڭى
چانطه+N+P1S	چانطهم
چانطه+N+P1S+Loc	چانطهمده
چانطه+N+P1S+Abl	چانطهمدن
چانطه+N+P1S+Inst	چانطهمله
چانطه+N+P1S+Dat	چانطهمه
چانطه+N+P1S+Gen	چانطهمڭ
چانطه+N+P1S+Acc	چانطهمى
چانطه+N+Pl	چانطهلر
چانطه+N+Pl+P3P	چانطهلرلرى
چانطه+N+Pl+P3P+Loc	چانطهلرلرىنده
چانطه+N+Pl+P3P+Abl	چانطهلرلرىندن
چانطه+N+Pl+P3P+Dat	چانطهلرلرىنه
چانطه+N+Pl+P3P+Gen	چانطهلرلرىنڭ
چانطه+N+Pl+P3P+Acc	چانطهلرلرىسى
چانطه+N+Pl+P3P+Inst	چانطهلرلرىيله
چانطه+N+Pl+P2P	چانطهلريڭز
چانطه+N+Pl+P2P+Loc	چانطهلريڭزده
چانطه+N+Pl+P2P+Abl	چانطهلريڭزدن
چانطه+N+Pl+P2P+Inst	چانطهلريڭزله
چانطه+N+Pl+P2P+Dat	چانطهلريڭزه
چانطه+N+Pl+P2P+Gen	چانطهلريڭزڭ
چانطه+N+Pl+P2P+Acc	چانطهلريڭزى
چانطه+N+Pl+P1P	چانطهلريمز
چانطه+N+Pl+P1P+Loc	چانطهلريمزده
چانطه+N+Pl+P1P+Abl	چانطهلريمزدن
چانطه+N+Pl+P1P+Inst	چانطهلريمزله
چانطه+N+Pl+P1P+Dat	چانطهلريمزه
چانطه+N+Pl+P1P+Gen	چانطهلريمزڭ
چانطه+N+Pl+P1P+Acc	چانطهلريمزى
چانطه+N+Pl+P3S	چانطهلرى
چانطه+N+Pl+P3S+Loc	چانطهلرىنده
چانطه+N+Pl+P3S+Abl	چانطهلرىندن
چانطه+N+Pl+P3S+Dat	چانطهلرىنه
چانطه+N+Pl+P3S+Gen	چانطهلرىنڭ
چانطه+N+Pl+P3S+Acc	چانطهلرىسى
چانطه+N+Pl+P3S+Inst	چانطهلرىيله
چانطه+N+Pl+P2S	چانطهلرڭ
چانطه+N+Pl+P2S+Loc	چانطهلرڭده
چانطه+N+Pl+P2S+Abl	چانطهلرڭدن
چانطه+N+Pl+P2S+Inst	چانطهلرڭله
چانطه+N+Pl+P2S+Dat	چانطهلرڭه
چانطه+N+Pl+P2S+Gen	چانطهلرڭڭ
چانطه+N+Pl+P2S+Acc	چانطهلرڭى
چانطه+N+Pl+P1S	چانطهلريم
چانطه+N+Pl+P1S+Loc	چانطهلريمده
چانطه+N+Pl+P1S+Abl	چانطهلريمدن
چانطه+N+Pl+P1S+Inst	چانطهلريمله
چانطه+N+Pl+P1S+Dat	چانطهلريمه
چانطه+N+Pl+P1S+Gen	چانطهلريمڭ
چانطه+N+Pl+P1S+Acc	چانطهلريمى
ماصه+N	ماصه
ماصه+N+P3P	ماصهلرى
ماصه+N+P3P+Loc	ماصهلرىنده
ماصه+N+P3P+Abl	ماصهلرىندن
ماصه+N+P3P+Dat	ماصهلرىنه
ماصه+N+P3P+Gen	ماصهلرىنڭ
ماصه+N+P3P+Acc	ماصهلرىسى
ماصه+N+P3P+Inst	ماصهلرىيله
ماصه+N+P2P	ماصهنڭز
ماصه+N+P2P+Loc	ماصهنڭزده
ماصه+N+P2P+Abl	ماصهنڭزدن
ماصه+N+P2P+Inst	ماصهنڭزله
ماصه+N+P2P+Dat	ماصهنڭزه
ماصه+N+P2P+Gen	ماصهنڭزڭ
ماصه+N+P2P+Acc	ماصهنڭزى
ماصه+N+P1P	ماصهمز
ماصه+N+P1P+Loc	ماصهمزده
ماصه+N+P1P+Abl	ماصهمزدن
ماصه+N+P1P+Inst	ماصهمزله
ماصه+N+P1P+Dat	ماصهمزه
ماصه+N+P1P+Gen	ماصهمزڭ
ماصه+N+P1P+Acc	ماصهمزى
ماصه+N+P3S	ماصهسى
ماصه+N+P3S+Gen	ماصهسىنڭ
ماصه+N+P3S+Acc	ماصهسىسى
ماصه+N+P3S+Loc	ماصهسىده
ماصه+N+P3S+Abl	ماصهسىدن
ماصه+N+P3S+Inst	ماصهسىيله
ماصه+N+P3S+Dat	ماصهسىيه
ماصه+N+P2S	ماصهنڭ
ماصه+N+P2S+Loc	ماصهنڭده
ماصه+N+P2S+Abl	ماصهنڭدن
ماصه+N+P2S+Inst	ماصهنڭله
ماصه+N+P2S+Dat	ماصهنڭه
ماصه+N+P2S+Gen	ماصهنڭڭ
ماصه+N+P2S+Acc	ماصهنڭى
ماصه+N+P1S	ماصهم
ماصه+N+P1S+Loc	ماصهمده
ماصه+N+P1S+Abl	ماصهمدن
ماصه+N+P1S+Inst	ماصهمله
ماصه+N+P1S+Dat	ماصهمه
ماصه+N+P1S+Gen	ماصهمڭ
ماصه+N+P1S+Acc	ماصهمى
ماصه+N+Pl	ماصهلر
ماصه+N+Pl+P3P	ماصهلرلرى
ماصه+N+Pl+P3P+Loc	ماصهلرلرىنده
ماصه+N+Pl+P3P+Abl	ماصهلرلرىندن
ماصه+N+Pl+P3P+Dat	ماصهلرلرىنه
ماصه+N+Pl+P3P+Gen	ماصهلرلرىنڭ
ماصه+N+Pl+P3P+Acc	ماصهلرلرىسى
ماصه+N+Pl+P3P+Inst	ماصهلرلرىيله
ماصه+N+Pl+P2P	ماصهلريڭز
ماصه+N+Pl+P2P+Loc	ماصهلريڭزده
ماصه+N+Pl+P2P+Abl	ماصهلريڭزدن
ماصه+N+Pl+P2P+Inst	ماصهلريڭزله
ماصه+N+Pl+P2P+Dat	ماصهلريڭزه
ماصه+N+Pl+P2P+Gen	ماصهلريڭزڭ
ماصه+N+Pl+P2P+Acc	ماصهلريڭزى
ماصه+N+Pl+P1P	ماصهلريمز
ماصه+N+Pl+P1P+Loc	ماصهلريمزده
ماصه+N+Pl+P1P+Abl	ماصهلريمزدن
ماصه+N+Pl+P1P+Inst	ماصهلريمزله
ماصه+N+Pl+P1P+Dat	ماصهلريمزه
ماصه+N+Pl+P1P+Gen	ماصهلريمزڭ
ماصه+N+Pl+P1P+Acc	ماصهلريمزى
ماصه+N+Pl+P3S	ماصهلرى
ماصه+N+Pl+P3S+Loc	ماصهلرىنده
ماصه+N+Pl+P3S+Abl	ماصهلرىندن
ماصه+N+Pl+P3S+Dat	ماصهلرىنه
ماصه+N+Pl+P3S+Gen	ماصهلرىنڭ
ماصه+N+Pl+P3S+Acc	ماصهلرىسى
ماصه+N+Pl+P3S+Inst	ماصهلرىيله
ماصه+N+Pl+P2S	ماصهلرڭ
ماصه+N+Pl+P2S+Loc	ماصهلرڭده
ماصه+N+Pl+P2S+Abl	ماصهلرڭدن
ماصه+N+Pl+P2S+Inst	ماصهلرڭله
ماصه+N+Pl+P2S+Dat	ماصهلرڭه
ماصه+N+Pl+P2S+Gen	ماصهلرڭڭ
ماصه+N+Pl+P2S+Acc	ماصهلرڭى
ماصه+N+Pl+P1S	ماصهلريم
ماصه+N+Pl+P1S+Loc	ماصهلريمده
ماصه+N+Pl+P1S+Abl	ماصهلريمدن
ماصه+N+Pl+P1S+Inst	ماصهلريمله
ماصه+N+Pl+P1S+Dat	ماصهلريمه
ماصه+N+Pl+P1S+Gen	ماصهلريمڭ
ماصه+N+Pl+P1S+Acc	ماصهلريمى
كتاب+N	كتاب
كتاب+N+P3P	كتابلرى
كتاب+N+P3P+Loc	كتابلرىنده
كتاب+N+P3P+Abl	كتابلرىندن
كتاب+N+P3P+Dat	كتابلرىنه
كتاب+N+P3P+Gen	كتابلرىنڭ
كتاب+N+P3P+Acc	كتابلرىسى
كتاب+N+P3P+Inst	كتابلرىيله
كتاب+N+P2P	كتابيڭز
كتاب+N+P2P+Loc	كتابيڭزده
كتاب+N+P2P+Abl	كتابيڭزدن
كتاب+N+P2P+Inst	كتابيڭزله
كتاب+N+P2P+Dat	كتابيڭزه
كتاب+N+P2P+Gen	كتابيڭزڭ
كتاب+N+P2P+Acc	كتابيڭزى
كتاب+N+P1P	كتابيمز
كتاب+N+P1P+Loc	كتابيمزده
كتاب+N+P1P+Abl	كتابيمزدن
كتاب+N+P1P+Inst	كتابيمزله
كتاب+N+P1P+Dat	كتابيمزه
كتاب+N+P1P+Gen	كتابيمزڭ
كتاب+N+P1P+Acc	كتابيمزى
كتاب+N+P3S	كتابى
كتاب+N+P3S+Loc	كتابىنده
كتاب+N+P3S+Abl	كتابىندن
كتاب+N+P3S+Dat	كتابىنه
كتاب+N+P3S+Gen	كتابىنڭ
كتاب+N+P3S+Acc	كتابىسى
كتاب+N+P3S+Inst	كتابىيله
كتاب+N+P2S	كتابڭ
كتاب+N+P2S+Loc	كتابڭده
كتاب+N+P2S+Abl	كتابڭدن
كتاب+N+P2S+Inst	كتابڭله
كتاب+N+P2S+Dat	كتابڭه
كتاب+N+P2S+Gen	كتابڭڭ
كتاب+N+P2S+Acc	كتابڭى
كتاب+N+P1S	كتابيم
كتاب+N+P1S+Loc	كتابيمده
كتاب+N+P1S+Abl	كتابيمدن
كتاب+N+P1S+Inst	كتابيمله
كتاب+N+P1S+Dat	كتابيمه
كتاب+N+P1S+Gen	كتابيمڭ
كتاب+N+P1S+Acc	كتابيمى
كتاب+N+Pl	كتابلر
كتاب+N+Pl+P3P	كتابلرلرى
كتاب+N+Pl+P3P+Loc	كتابلرلرىنده
كتاب+N+Pl+P3P+Abl	كتابلرلرىندن
كتاب+N+Pl+P3P+Dat	كتابلرلرىنه
كتاب+N+Pl+P3P+Gen	كتابلرلرىنڭ
كتاب+N+Pl+P3P+Acc	كتابلرلرىسى
كتاب+N+Pl+P3P+Inst	كتابلرلرىيله
كتاب+N+Pl+P2P	كتابلريڭز
كتاب+N+Pl+P2P+Loc	كتابلريڭزده
كتاب+N+Pl+P2P+Abl	كتابلريڭزدن
كتاب+N+Pl+P2P+Inst	كتابلريڭزله
كتاب+N+Pl+P2P+Dat	كتابلريڭزه
كتاب+N+Pl+P2P+Gen	كتابلريڭزڭ
كتاب+N+Pl+P2P+Acc	كتابلريڭزى
كتاب+N+Pl+P1P	كتابلريمز
كتاب+N+Pl+P1P+Loc	كتابلريمزده
كتاب+N+Pl+P1P+Abl	كتابلريمزدن
كتاب+N+Pl+P1P+Inst	كتابلريمزله
كتاب+N+Pl+P1P+Dat	كتابلريمزه
كتاب+N+Pl+P1P+Gen	كتابلريمزڭ
كتاب+N+Pl+P1P+Acc	كتابلريمزى
كتاب+N+Pl+P3S	كتابلرى
كتاب+N+Pl+P3S+Loc	كتابلرىنده
كتاب+N+Pl+P3S+Abl	كتابلرىندن
كتاب+N+Pl+P3S+Dat	كتابلرىنه
كتاب+N+Pl+P3S+Gen	كتابلرىنڭ
كتاب+N+Pl+P3S+Acc	كتابلرىسى
كتاب+N+Pl+P3S+Inst	كتابلرىيله
كتاب+N+Pl+P2S	كتابلرڭ
كتاب+N+Pl+P2S+Loc	كتابلرڭده
كتاب+N+Pl+P2S+Abl	كتابلرڭدن
كتاب+N+Pl+P2S+Inst	كتابلرڭله
كتاب+N+Pl+P2S+Dat	كتابلرڭه
كتاب+N+Pl+P2S+Gen	كتابلرڭڭ
كتاب+N+Pl+P2S+Acc	كتابلرڭى
كتاب+N+Pl+P1S	كتابلريم
كتاب+N+Pl+P1S+Loc	كتابلريمده
كتاب+N+Pl+P1S+Abl	كتابلريمدن
كتاب+N+Pl+P1S+Inst	كتابلريمله
كتاب+N+Pl+P1S+Dat	كتابلريمه
كتاب+N+Pl+P1S+Gen	كتابلريمڭ
كتاب+N+Pl+P1S+Acc	كتابلريمى
كدي+N	كدي
كدي+N+P3P	كديلرى
كدي+N+P3P+Loc	كديلرىنده
كدي+N+P3P+Abl	كديلرىندن
كدي+N+P3P+Dat	كديلرىنه
كدي+N+P3P+Gen	كديلرىنڭ
كدي+N+P3P+Acc	كديلرىسى
كدي+N+P3P+Inst	كديلرىيله
كدي+N+P2P	كدينڭز
كدي+N+P2P+Loc	كدينڭزده
كدي+N+P2P+Abl	كدينڭزدن
كدي+N+P2P+Inst	كدينڭزله
كدي+N+P2P+Dat	كدينڭزه
كدي+N+P2P+Gen	كدينڭزڭ
كدي+N+P2P+Acc	كدينڭزى
كدي+N+P1P	كديمز
كدي+N+P1P+Loc	كديمزده
كدي+N+P1P+Abl	كديمزدن
كدي+N+P1P+Inst	كديمزله
كدي+N+P1P+Dat	كديمزه
كدي+N+P1P+Gen	كديمزڭ
كدي+N+P1P+Acc	كديمزى
كدي+N+P3S	كديسى
كدي+N+P3S+Gen	كديسىنڭ
كدي+N+P3S+Acc	كديسىسى
كدي+N+P3S+Loc	كديسىده
كدي+N+P3S+Abl	كديسىدن
كدي+N+P3S+Inst	كديسىيله
كدي+N+P3S+Dat	كديسىيه
كدي+N+P2S	كدينڭ
كدي+N+P2S+Loc	كدينڭده
كدي+N+P2S+Abl	كدينڭدن
كدي+N+P2S+Inst	كدينڭله
كدي+N+P2S+Dat	كدينڭه
كدي+N+P2S+Gen	كدينڭڭ
كدي+N+P2S+Acc	كدينڭى
كدي+N+P1S	كديم
كدي+N+P1S+Loc	كديمده
كدي+N+P1S+Abl	كديمدن
كدي+N+P1S+Inst	كديمله
كدي+N+P1S+Dat	كديمه
كدي+N+P1S+Gen	كديمڭ
كدي+N+P1S+Acc	كديمى
كدي+N+Pl	كديلر
كدي+N+Pl+P3P	كديلرلرى
كدي+N+Pl+P3P+Loc	كديلرلرىنده
كدي+N+Pl+P3P+Abl	كديلرلرىندن
كدي+N+Pl+P3P+Dat	كديلرلرىنه
كدي+N+Pl+P3P+Gen	كديلرلرىنڭ
كدي+N+Pl+P3P+Acc	كديلرلرىسى
كدي+N+Pl+P3P+Inst	كديلرلرىيله
كدي+N+Pl+P2P	كديلريڭز
كدي+N+Pl+P2P+Loc	كديلريڭزده
كدي+N+Pl+P2P+Abl	كديلريڭزدن
كدي+N+Pl+P2P+Inst	كديلريڭزله
كدي+N+Pl+P2P+Dat	كديلريڭزه
كدي+N+Pl+P2P+Gen	كديلريڭزڭ
كدي+N+Pl+P2P+Acc	كديلريڭزى
كدي+N+Pl+P1P	كديلريمز
كدي+N+Pl+P1P+Loc	كديلريمزده
كدي+N+Pl+P1P+Abl	كديلريمزدن
كدي+N+Pl+P1P+Inst	كديلريمزله
كدي+N+Pl+P1P+Dat	كديلريمزه
كدي+N+Pl+P1P+Gen	كديلريمزڭ
كدي+N+Pl+P1P+Acc	كديلريمزى
كدي+N+Pl+P3S	كديلرى
كدي+N+Pl+P3S+Loc	كديلرىنده
كدي+N+Pl+P3S+Abl	كديلرىندن
كدي+N+Pl+P3S+Dat	كديلرىنه
كدي+N+Pl+P3S+Gen	كديلرىنڭ
كدي+N+Pl+P3S+Acc	كديلرىسى
كدي+N+Pl+P3S+Inst	كديلرىيله
كدي+N+Pl+P2S	كديلرڭ
كدي+N+Pl+P2S+Loc	كديلرڭده
كدي+N+Pl+P2S+Abl	كديلرڭدن
كدي+N+Pl+P2S+Inst	كديلرڭله
كدي+N+Pl+P2S+Dat	كديلرڭه
كدي+N+Pl+P2S+Gen	كديلرڭڭ
كدي+N+Pl+P2S+Acc	كديلرڭى
كدي+N+Pl+P1S	كديلريم
كدي+N+Pl+P1S+Loc	كديلريمده
كدي+N+Pl+P1S+Abl	كديلريمدن
كدي+N+Pl+P1S+Inst	كديلريمله
كدي+N+Pl+P1S+Dat	كديلريمه
كدي+N+Pl+P1S+Gen	كديلريمڭ
كدي+N+Pl+P1S+Acc	كديلريمى
